corpus,bytes,arm,threads,rep,instr,cyc,real
nasa,205242368,rapidgzip,8,3,5148455790,1554513763,0.10
squishy,400391411,gzippy,1,3,3816904802,1766136805,0.56
squishy,400391411,rapidgzip,1,3,10673615083,3704787487,1.16
squishy,400391411,gzippy,2,3,6708139334,2652204807,0.46
squishy,400391411,rapidgzip,2,3,12493411236,4164608218,0.69
squishy,400391411,gzippy,4,3,6879706579,2771816380,0.24
squishy,400391411,rapidgzip,4,3,12527619891,4195859106,0.38
squishy,400391411,gzippy,8,3,6935059431,2883699843,0.15
squishy,400391411,rapidgzip,8,3,12598352906,4265203062,0.23
silesia,211968000,gzippy,1,4,2099333586,874874272,0.27
silesia,211968000,rapidgzip,1,4,5713743595,2103455134,0.66
silesia,211968000,gzippy,2,4,3952323748,1463358486,0.25
silesia,211968000,rapidgzip,2,4,6765201341,2379806326,0.40
silesia,211968000,gzippy,4,4,4010129950,1520085699,0.13
silesia,211968000,rapidgzip,4,4,6785452975,2404781430,0.23
silesia,211968000,gzippy,8,4,4045238502,1562110210,0.08
silesia,211968000,rapidgzip,8,4,6822055394,2419767623,0.15
monorepo,50915328,gzippy,1,4,348264030,143829478,0.04
monorepo,50915328,rapidgzip,1,4,1162330959,464614455,0.14
monorepo,50915328,gzippy,2,4,956300443,360316519,0.06
monorepo,50915328,rapidgzip,2,4,1628045918,577301521,0.11
monorepo,50915328,gzippy,4,4,1097635167,412457547,0.04
monorepo,50915328,rapidgzip,4,4,1771222768,624650489,0.07
monorepo,50915328,gzippy,8,4,1236938308,468755975,0.02
monorepo,50915328,rapidgzip,8,4,1873608937,667361255,0.05
nasa,205242368,gzippy,1,4,701801126,346064824,0.10
nasa,205242368,rapidgzip,1,4,2868483119,1004428210,0.31
nasa,205242368,gzippy,2,4,2547109874,947093068,0.17
nasa,205242368,rapidgzip,2,4,4703781135,1422655357,0.27
nasa,205242368,gzippy,4,4,2758385413,1032507775,0.10
nasa,205242368,rapidgzip,4,4,4954074609,1486286999,0.17
nasa,205242368,gzippy,8,4,2878611199,1070757720,0.06
nasa,205242368,rapidgzip,8,4,5149638724,1547821012,0.10
squishy,400391411,gzippy,1,4,3817395828,1761384608,0.56
squishy,400391411,rapidgzip,1,4,10671102382,3698073679,1.16
squishy,400391411,gzippy,2,4,6706213620,2656708311,0.46
squishy,400391411,rapidgzip,2,4,12490560971,4156607761,0.69
squishy,400391411,gzippy,4,4,6877073550,2774104769,0.25
squishy,400391411,rapidgzip,4,4,12521661992,4183142513,0.38
squishy,400391411,gzippy,8,4,6940665628,2864472564,0.14
squishy,400391411,rapidgzip,8,4,12597755824,4248550455,0.23
silesia,211968000,gzippy,1,5,2101369391,876718612,0.27
silesia,211968000,rapidgzip,1,5,5716792589,2101308471,0.65
silesia,211968000,gzippy,2,5,3957954923,1476534158,0.25
silesia,211968000,rapidgzip,2,5,6765833172,2388282463,0.40
silesia,211968000,gzippy,4,5,4012863625,1521683424,0.13
silesia,211968000,rapidgzip,4,5,6790848277,2416664287,0.23
silesia,211968000,gzippy,8,5,4047943456,1559053095,0.08
silesia,211968000,rapidgzip,8,5,6828085394,2429046716,0.15
monorepo,50915328,gzippy,1,5,349057866,147884869,0.04
monorepo,50915328,rapidgzip,1,5,1162947198,464325068,0.14
monorepo,50915328,gzippy,2,5,952675930,357210311,0.06
monorepo,50915328,rapidgzip,2,5,1625471618,577360429,0.11
monorepo,50915328,gzippy,4,5,1095709157,414525091,0.04
monorepo,50915328,rapidgzip,4,5,1769001705,634325397,0.08
monorepo,50915328,gzippy,8,5,1230116210,467164337,0.02
monorepo,50915328,rapidgzip,8,5,1875226373,675014315,0.05
nasa,205242368,gzippy,1,5,701397295,349704869,0.11
nasa,205242368,rapidgzip,1,5,2862333480,997985122,0.31
nasa,205242368,gzippy,2,5,2546554502,953409322,0.17
nasa,205242368,rapidgzip,2,5,4707179669,1433748797,0.27
nasa,205242368,gzippy,4,5,2763961747,1033059443,0.10
nasa,205242368,rapidgzip,4,5,4959224859,1487584847,0.17
nasa,205242368,gzippy,8,5,2888155874,1078579275,0.05
nasa,205242368,rapidgzip,8,5,5151220128,1566692591,0.11
squishy,400391411,gzippy,1,5,3820900610,1764345364,0.55
squishy,400391411,rapidgzip,1,5,10672461530,3700264826,1.15
squishy,400391411,gzippy,2,5,6706069021,2654900253,0.46
squishy,400391411,rapidgzip,2,5,12494630496,4161360989,0.69
squishy,400391411,gzippy,4,5,6887298567,2773893756,0.24
squishy,400391411,rapidgzip,4,5,12524818014,4180590793,0.38
squishy,400391411,gzippy,8,5,6934881443,2879846823,0.15
squishy,400391411,rapidgzip,8,5,12587611067,4261505763,0.23
silesia,211968000,gzippy,1,6,2099681292,880879819,0.27
silesia,211968000,rapidgzip,1,6,5721505025,2101808846,0.66
silesia,211968000,gzippy,2,6,3956690934,1469458397,0.25
silesia,211968000,rapidgzip,2,6,6774506340,2386198326,0.40
silesia,211968000,gzippy,4,6,4022312347,1517312861,0.13
silesia,211968000,rapidgzip,4,6,6790539899,2416052604,0.22
silesia,211968000,gzippy,8,6,4048477417,1563279173,0.08
silesia,211968000,rapidgzip,8,6,6826978064,2422918438,0.15
monorepo,50915328,gzippy,1,6,348752615,144355492,0.04
monorepo,50915328,rapidgzip,1,6,1163495671,467529447,0.14
monorepo,50915328,gzippy,2,6,957577199,362663865,0.06
monorepo,50915328,rapidgzip,2,6,1633163182,592072587,0.11
monorepo,50915328,gzippy,4,6,1099565428,415035648,0.04
monorepo,50915328,rapidgzip,4,6,1773576111,627633019,0.07
monorepo,50915328,gzippy,8,6,1240077016,477185061,0.02
monorepo,50915328,rapidgzip,8,6,1875020598,667821668,0.05
nasa,205242368,gzippy,1,6,701799887,345470859,0.10
nasa,205242368,rapidgzip,1,6,2866538573,1009877293,0.31
nasa,205242368,gzippy,2,6,2545198177,955090064,0.17
nasa,205242368,rapidgzip,2,6,4706339165,1448251407,0.27
nasa,205242368,gzippy,4,6,2763150626,1035445644,0.11
nasa,205242368,rapidgzip,4,6,4954424566,1489304450,0.17
nasa,205242368,gzippy,8,6,2894356326,1080965617,0.06
nasa,205242368,rapidgzip,8,6,5148447915,1537582515,0.10
squishy,400391411,gzippy,1,6,3820835131,1763670544,0.55
squishy,400391411,rapidgzip,1,6,10668127425,3692650533,1.15
squishy,400391411,gzippy,2,6,6701699380,2639054329,0.45
squishy,400391411,rapidgzip,2,6,12489024800,4168109729,0.69
squishy,400391411,gzippy,4,6,6870485139,2750120278,0.24
squishy,400391411,rapidgzip,4,6,12520335826,4183193689,0.38
squishy,400391411,gzippy,8,6,6947399907,2872099115,0.15
squishy,400391411,rapidgzip,8,6,12608897979,4293824922,0.24
silesia,211968000,gzippy,1,7,2102698433,882285051,0.27
silesia,211968000,rapidgzip,1,7,5717999721,2110879669,0.66
silesia,211968000,gzippy,2,7,3957924193,1472237752,0.25
silesia,211968000,rapidgzip,2,7,6768311804,2401199585,0.41
silesia,211968000,gzippy,4,7,4011159235,1534632730,0.14
silesia,211968000,rapidgzip,4,7,6784041212,2398948861,0.22
silesia,211968000,gzippy,8,7,4043307049,1563935121,0.08
silesia,211968000,rapidgzip,8,7,6826845609,2428424962,0.15
monorepo,50915328,gzippy,1,7,348256264,143988927,0.04
monorepo,50915328,rapidgzip,1,7,1164046993,468957797,0.14
monorepo,50915328,gzippy,2,7,957559960,360446818,0.06
monorepo,50915328,rapidgzip,2,7,1630227814,585884820,0.11
monorepo,50915328,gzippy,4,7,1099838963,420698985,0.04
monorepo,50915328,rapidgzip,4,7,1770905144,631104072,0.08
monorepo,50915328,gzippy,8,7,1242022598,473795488,0.03
monorepo,50915328,rapidgzip,8,7,1875865063,672350120,0.05
nasa,205242368,gzippy,1,7,701202181,350365319,0.11
nasa,205242368,rapidgzip,1,7,2864693124,1002288513,0.31
nasa,205242368,gzippy,2,7,2544710790,943665249,0.17
nasa,205242368,rapidgzip,2,7,4704154959,1438977861,0.27
nasa,205242368,gzippy,4,7,2763436097,1033464110,0.10
nasa,205242368,rapidgzip,4,7,4957824885,1486274999,0.17
nasa,205242368,gzippy,8,7,2887140947,1084727756,0.05
nasa,205242368,rapidgzip,8,7,5157505572,1551299353,0.10
squishy,400391411,gzippy,1,7,3817172462,1761301052,0.54
squishy,400391411,rapidgzip,1,7,10670495661,3696500801,1.15
squishy,400391411,gzippy,2,7,6704498780,2654260058,0.45
