corpus,arm,rep,instr,cyc,sha_ok
nasa,base4,6,2768932747,1028842551,1
nasa,noprefetch4,6,802322175,399573500,1
nasa,thin1,6,795723366,389565460,1
nasa,nocrc4,6,2762107471,1026792538,1
squishy,base1,6,3820375177,1762154669,1
squishy,base4,6,6862656965,2765348519,1
squishy,noprefetch4,6,4099968031,1922275823,1
squishy,thin1,6,4096632675,1892712350,1
squishy,nocrc4,6,10504512386,4400455138,1
silesia,base1,7,2104387309,880463584,1
silesia,base4,7,4016983263,1511325863,1
silesia,noprefetch4,7,2203210766,932611320,1
silesia,thin1,7,2191289594,917017004,1
silesia,nocrc4,7,6012091695,2328533181,1
monorepo,base1,7,349620952,143607172,1
monorepo,base4,7,1098893413,411143980,1
monorepo,noprefetch4,7,374835245,156959087,1
monorepo,thin1,7,363075000,152163827,1
monorepo,nocrc4,7,1392158178,522770310,1
nasa,base1,7,701613145,347178768,1
nasa,base4,7,2794083131,1045821091,1
nasa,noprefetch4,7,811357537,401308916,1
nasa,thin1,7,798914746,394151258,1
nasa,nocrc4,7,2767630536,1029411886,1
squishy,base1,7,3816582961,1756927331,1
squishy,base4,7,6882545195,2772950687,1
squishy,noprefetch4,7,4089850812,1918896897,1
squishy,thin1,7,4089694851,1886661165,1
squishy,nocrc4,7,10500544548,4386801949,1
