corpus,bytes,arm,threads,rep,wall_s
silesia,211968000,gz2,4,9,0.141334
silesia,211968000,rg,4,9,0.236837
silesia,211968000,ld,4,9,0.232438
silesia,211968000,gz,4,10,0.143095
silesia,211968000,gz2,4,10,0.140889
silesia,211968000,rg,4,10,0.230697
silesia,211968000,ld,4,10,0.234342
silesia,211968000,gz,4,11,0.140141
silesia,211968000,gz2,4,11,0.141056
silesia,211968000,rg,4,11,0.229789
silesia,211968000,ld,4,11,0.232086
silesia,211968000,gz,4,12,0.141675
silesia,211968000,gz2,4,12,0.139776
silesia,211968000,rg,4,12,0.230806
silesia,211968000,ld,4,12,0.230538
silesia,211968000,gz,4,13,0.141749
silesia,211968000,gz2,4,13,0.140214
silesia,211968000,rg,4,13,0.238684
silesia,211968000,ld,4,13,0.232981
silesia,211968000,gz,8,1,0.090820
silesia,211968000,gz2,8,1,0.090857
silesia,211968000,rg,8,1,0.164014
silesia,211968000,ld,8,1,0.230756
silesia,211968000,gz,8,2,0.092586
silesia,211968000,gz2,8,2,0.115365
silesia,211968000,rg,8,2,0.166988
silesia,211968000,ld,8,2,0.230095
silesia,211968000,gz,8,3,0.089744
silesia,211968000,gz2,8,3,0.099122
silesia,211968000,rg,8,3,0.172021
silesia,211968000,ld,8,3,0.233093
silesia,211968000,gz,8,4,0.091312
silesia,211968000,gz2,8,4,0.095065
silesia,211968000,rg,8,4,0.174297
silesia,211968000,ld,8,4,0.234316
silesia,211968000,gz,8,5,0.120893
silesia,211968000,gz2,8,5,0.092876
silesia,211968000,rg,8,5,0.173429
silesia,211968000,ld,8,5,0.228983
silesia,211968000,gz,8,6,0.089003
silesia,211968000,gz2,8,6,0.090441
silesia,211968000,rg,8,6,0.159556
silesia,211968000,ld,8,6,0.230075
silesia,211968000,gz,8,7,0.089411
silesia,211968000,gz2,8,7,0.090492
silesia,211968000,rg,8,7,0.161221
silesia,211968000,ld,8,7,0.227968
silesia,211968000,gz,8,8,0.089067
silesia,211968000,gz2,8,8,0.091207
silesia,211968000,rg,8,8,0.164242
silesia,211968000,ld,8,8,0.228252
silesia,211968000,gz,8,9,0.088701
silesia,211968000,gz2,8,9,0.087967
silesia,211968000,rg,8,9,0.152060
silesia,211968000,ld,8,9,0.233965
silesia,211968000,gz,8,10,0.089539
silesia,211968000,gz2,8,10,0.089858
silesia,211968000,rg,8,10,0.160813
silesia,211968000,ld,8,10,0.231635
silesia,211968000,gz,8,11,0.089865
silesia,211968000,gz2,8,11,0.090353
silesia,211968000,rg,8,11,0.159150
silesia,211968000,ld,8,11,0.228355
silesia,211968000,gz,8,12,0.093873
silesia,211968000,gz2,8,12,0.089622
silesia,211968000,rg,8,12,0.174935
silesia,211968000,ld,8,12,0.232430
silesia,211968000,gz,8,13,0.088743
silesia,211968000,gz2,8,13,0.092608
silesia,211968000,rg,8,13,0.159285
silesia,211968000,ld,8,13,0.229833
monorepo,50915328,gz,1,1,0.047365
monorepo,50915328,gz2,1,1,0.047600
monorepo,50915328,rg,1,1,0.153320
monorepo,50915328,ld,1,1,0.038501
monorepo,50915328,gz,1,2,0.048117
monorepo,50915328,gz2,1,2,0.047030
monorepo,50915328,rg,1,2,0.152004
monorepo,50915328,ld,1,2,0.039971
monorepo,50915328,gz,1,3,0.048330
monorepo,50915328,gz2,1,3,0.048999
monorepo,50915328,rg,1,3,0.153978
monorepo,50915328,ld,1,3,0.038830
monorepo,50915328,gz,1,4,0.048847
monorepo,50915328,gz2,1,4,0.048487
monorepo,50915328,rg,1,4,0.154604
monorepo,50915328,ld,1,4,0.038218
monorepo,50915328,gz,1,5,0.047964
monorepo,50915328,gz2,1,5,0.048299
monorepo,50915328,rg,1,5,0.154053
monorepo,50915328,ld,1,5,0.039278
monorepo,50915328,gz,1,6,0.048236
monorepo,50915328,gz2,1,6,0.048274
monorepo,50915328,rg,1,6,0.153139
monorepo,50915328,ld,1,6,0.039148
monorepo,50915328,gz,1,7,0.048802
monorepo,50915328,gz2,1,7,0.048340
monorepo,50915328,rg,1,7,0.150982
monorepo,50915328,ld,1,7,0.040596
monorepo,50915328,gz,1,8,0.048386
monorepo,50915328,gz2,1,8,0.048147
monorepo,50915328,rg,1,8,0.154637
monorepo,50915328,ld,1,8,0.038481
monorepo,50915328,gz,1,9,0.047926
monorepo,50915328,gz2,1,9,0.048468
monorepo,50915328,rg,1,9,0.151342
monorepo,50915328,ld,1,9,0.040025
monorepo,50915328,gz,1,10,0.047978
monorepo,50915328,gz2,1,10,0.048153
monorepo,50915328,rg,1,10,0.151374
monorepo,50915328,ld,1,10,0.039972
monorepo,50915328,gz,1,11,0.048441
monorepo,50915328,gz2,1,11,0.047357
monorepo,50915328,rg,1,11,0.154565
monorepo,50915328,ld,1,11,0.039490
monorepo,50915328,gz,1,12,0.047337
monorepo,50915328,gz2,1,12,0.047751
monorepo,50915328,rg,1,12,0.152126
monorepo,50915328,ld,1,12,0.038719
monorepo,50915328,gz,1,13,0.049096
monorepo,50915328,gz2,1,13,0.048598
monorepo,50915328,rg,1,13,0.152774
monorepo,50915328,ld,1,13,0.038516
monorepo,50915328,gz,2,1,0.069994
monorepo,50915328,gz2,2,1,0.071058
monorepo,50915328,rg,2,1,0.123413
monorepo,50915328,ld,2,1,0.039982
