cell,corpus,thr,arm,rep,wall_s
T1,monorepo,1,RG,12,0.158306
T1,monorepo,1,GUNZIP,12,0.149174
T1,monorepo,1,GZ,13,0.043485
T1,monorepo,1,LIBDEFLATE,13,0.040830
T1,monorepo,1,PIGZ,13,0.047282
T1,monorepo,1,RG,13,0.156523
T1,monorepo,1,GUNZIP,13,0.150723
T1,nasa,1,GZ,1,0.143489
T1,nasa,1,LIBDEFLATE,1,0.113531
T1,nasa,1,PIGZ,1,0.103563
T1,nasa,1,RG,1,0.337291
T1,nasa,1,GUNZIP,1,0.356277
T1,nasa,1,GZ,2,0.095124
T1,nasa,1,LIBDEFLATE,2,0.100320
T1,nasa,1,PIGZ,2,0.103713
T1,nasa,1,RG,2,0.338417
T1,nasa,1,GUNZIP,2,0.355841
T1,nasa,1,GZ,3,0.094104
T1,nasa,1,LIBDEFLATE,3,0.105739
T1,nasa,1,PIGZ,3,0.101697
T1,nasa,1,RG,3,0.340042
T1,nasa,1,GUNZIP,3,0.358057
T1,nasa,1,GZ,4,0.093480
T1,nasa,1,LIBDEFLATE,4,0.100314
T1,nasa,1,PIGZ,4,0.101950
T1,nasa,1,RG,4,0.336218
T1,nasa,1,GUNZIP,4,0.356535
T1,nasa,1,GZ,5,0.094871
T1,nasa,1,LIBDEFLATE,5,0.098917
T1,nasa,1,PIGZ,5,0.101276
T1,nasa,1,RG,5,0.338769
T1,nasa,1,GUNZIP,5,0.354771
T1,nasa,1,GZ,6,0.094371
T1,nasa,1,LIBDEFLATE,6,0.099730
T1,nasa,1,PIGZ,6,0.103319
T1,nasa,1,RG,6,0.338923
T1,nasa,1,GUNZIP,6,0.358479
T1,nasa,1,GZ,7,0.094372
T1,nasa,1,LIBDEFLATE,7,0.099532
T1,nasa,1,PIGZ,7,0.101449
T1,nasa,1,RG,7,0.340580
T1,nasa,1,GUNZIP,7,0.356765
T1,nasa,1,GZ,8,0.095771
T1,nasa,1,LIBDEFLATE,8,0.100574
T1,nasa,1,PIGZ,8,0.101586
T1,nasa,1,RG,8,0.338678
T1,nasa,1,GUNZIP,8,0.357711
T1,nasa,1,GZ,9,0.094521
T1,nasa,1,LIBDEFLATE,9,0.101667
T1,nasa,1,PIGZ,9,0.101805
T1,nasa,1,RG,9,0.338928
T1,nasa,1,GUNZIP,9,0.363004
T1,nasa,1,GZ,10,0.099139
T1,nasa,1,LIBDEFLATE,10,0.101993
T1,nasa,1,PIGZ,10,0.101826
T1,nasa,1,RG,10,0.334852
T1,nasa,1,GUNZIP,10,0.354352
T1,nasa,1,GZ,11,0.094627
T1,nasa,1,LIBDEFLATE,11,0.101311
T1,nasa,1,PIGZ,11,0.102120
T1,nasa,1,RG,11,0.338478
T1,nasa,1,GUNZIP,11,0.355337
T1,nasa,1,GZ,12,0.093357
T1,nasa,1,LIBDEFLATE,12,0.108298
T1,nasa,1,PIGZ,12,0.102071
T1,nasa,1,RG,12,0.336883
T1,nasa,1,GUNZIP,12,0.352967
T1,nasa,1,GZ,13,0.094670
T1,nasa,1,LIBDEFLATE,13,0.101079
T1,nasa,1,PIGZ,13,0.103057
T1,nasa,1,RG,13,0.337603
T1,nasa,1,GUNZIP,13,0.352903
T4,silesia,4,GZ,1,0.217987
T4,silesia,4,RG,1,0.239506
T4,silesia,4,PIGZ,1,0.314077
T4,silesia,4,GZ,2,0.125856
T4,silesia,4,RG,2,0.239864
T4,silesia,4,PIGZ,2,0.310834
T4,silesia,4,GZ,3,0.127105
T4,silesia,4,RG,3,0.237393
T4,silesia,4,PIGZ,3,0.309361
T4,silesia,4,GZ,4,0.128131
T4,silesia,4,RG,4,0.238304
T4,silesia,4,PIGZ,4,0.306634
T4,silesia,4,GZ,5,0.127034
T4,silesia,4,RG,5,0.237715
T4,silesia,4,PIGZ,5,0.308860
T4,silesia,4,GZ,6,0.126577
T4,silesia,4,RG,6,0.240341
T4,silesia,4,PIGZ,6,0.307312
T4,silesia,4,GZ,7,0.126039
T4,silesia,4,RG,7,0.239430
T4,silesia,4,PIGZ,7,0.311287
T4,silesia,4,GZ,8,0.126491
T4,silesia,4,RG,8,0.239262
T4,silesia,4,PIGZ,8,0.308845
T4,silesia,4,GZ,9,0.126482
T4,silesia,4,RG,9,0.235865
T4,silesia,4,PIGZ,9,0.308689
T4,silesia,4,GZ,10,0.125269
T4,silesia,4,RG,10,0.237166
T4,silesia,4,PIGZ,10,0.307577
T4,silesia,4,GZ,11,0.127127
T4,silesia,4,RG,11,0.238032
T4,silesia,4,PIGZ,11,0.308273
T4,silesia,4,GZ,12,0.125029
T4,silesia,4,RG,12,0.239091
T4,silesia,4,PIGZ,12,0.309890
T4,silesia,4,GZ,13,0.128500
T4,silesia,4,RG,13,0.238603
T4,silesia,4,PIGZ,13,0.318254
T8,silesia,8,GZ,1,0.092365
T8,silesia,8,RG,1,0.157300
T8,silesia,8,PIGZ,1,0.310308
T8,silesia,8,GZ,2,0.091443
T8,silesia,8,RG,2,0.169130
T8,silesia,8,PIGZ,2,0.310272
T8,silesia,8,GZ,3,0.090299
T8,silesia,8,RG,3,0.173786
T8,silesia,8,PIGZ,3,0.307299
T8,silesia,8,GZ,4,0.087343
T8,silesia,8,RG,4,0.168051
T8,silesia,8,PIGZ,4,0.307818
T8,silesia,8,GZ,5,0.091633
T8,silesia,8,RG,5,0.171980
T8,silesia,8,PIGZ,5,0.310893
T8,silesia,8,GZ,6,0.092075
T8,silesia,8,RG,6,0.176421
T8,silesia,8,PIGZ,6,0.304798
T8,silesia,8,GZ,7,0.091949
T8,silesia,8,RG,7,0.176969
T8,silesia,8,PIGZ,7,0.307054
T8,silesia,8,GZ,8,0.091898
T8,silesia,8,RG,8,0.176276
T8,silesia,8,PIGZ,8,0.311130
T8,silesia,8,GZ,9,0.091234
T8,silesia,8,RG,9,0.167749
T8,silesia,8,PIGZ,9,0.307520
T8,silesia,8,GZ,10,0.090114
T8,silesia,8,RG,10,0.174933
T8,silesia,8,PIGZ,10,0.307146
T8,silesia,8,GZ,11,0.091975
T8,silesia,8,RG,11,0.169521
T8,silesia,8,PIGZ,11,0.308565
T8,silesia,8,GZ,12,0.086549
T8,silesia,8,RG,12,0.166285
T8,silesia,8,PIGZ,12,0.308583
T8,silesia,8,GZ,13,0.094764
T8,silesia,8,RG,13,0.169125
T8,silesia,8,PIGZ,13,0.308570
T4,monorepo,4,GZ,1,0.061002
T4,monorepo,4,RG,1,0.086559
T4,monorepo,4,PIGZ,1,0.061845
T4,monorepo,4,GZ,2,0.044630
T4,monorepo,4,RG,2,0.084645
T4,monorepo,4,PIGZ,2,0.060646
T4,monorepo,4,GZ,3,0.044062
T4,monorepo,4,RG,3,0.088542
T4,monorepo,4,PIGZ,3,0.060567
T4,monorepo,4,GZ,4,0.044969
T4,monorepo,4,RG,4,0.087846
T4,monorepo,4,PIGZ,4,0.060783
T4,monorepo,4,GZ,5,0.044861
T4,monorepo,4,RG,5,0.087227
T4,monorepo,4,PIGZ,5,0.060994
T4,monorepo,4,GZ,6,0.044931
T4,monorepo,4,RG,6,0.086404
T4,monorepo,4,PIGZ,6,0.060151
T4,monorepo,4,GZ,7,0.043953
T4,monorepo,4,RG,7,0.087472
T4,monorepo,4,PIGZ,7,0.059866
T4,monorepo,4,GZ,8,0.044914
T4,monorepo,4,RG,8,0.087251
T4,monorepo,4,PIGZ,8,0.058444
T4,monorepo,4,GZ,9,0.043749
T4,monorepo,4,RG,9,0.085201
T4,monorepo,4,PIGZ,9,0.059725
T4,monorepo,4,GZ,10,0.044331
T4,monorepo,4,RG,10,0.087461
T4,monorepo,4,PIGZ,10,0.058607
T4,monorepo,4,GZ,11,0.044456
T4,monorepo,4,RG,11,0.088381
T4,monorepo,4,PIGZ,11,0.059898
T4,monorepo,4,GZ,12,0.044544
T4,monorepo,4,RG,12,0.086304
T4,monorepo,4,PIGZ,12,0.060078
T4,monorepo,4,GZ,13,0.044610
T4,monorepo,4,RG,13,0.087701
T4,monorepo,4,PIGZ,13,0.059387
