corpus,arm,rep,wall_s
nasa,PIGZ,1,0.745425
nasa,RG,1,0.445352
nasa,GUNZIP,1,1.737796
nasa,GZ,2,0.272366
nasa,IGZIP,2,0.238953
nasa,LIBDEFLATE,2,0.360045
nasa,PIGZ,2,0.749201
nasa,RG,2,0.444644
nasa,GUNZIP,2,1.741289
nasa,GZ,3,0.273957
nasa,IGZIP,3,0.240398
nasa,LIBDEFLATE,3,0.359204
nasa,PIGZ,3,0.755494
nasa,RG,3,0.449625
nasa,GUNZIP,3,1.747858
nasa,GZ,4,0.273423
nasa,IGZIP,4,0.241113
nasa,LIBDEFLATE,4,0.362839
nasa,PIGZ,4,0.745175
nasa,RG,4,0.445934
nasa,GUNZIP,4,1.737924
nasa,GZ,5,0.271834
nasa,IGZIP,5,0.237460
nasa,LIBDEFLATE,5,0.360508
nasa,PIGZ,5,0.749801
nasa,RG,5,0.452018
nasa,GUNZIP,5,1.741509
nasa,GZ,6,0.273570
nasa,IGZIP,6,0.238549
nasa,LIBDEFLATE,6,0.361466
nasa,PIGZ,6,0.754654
nasa,RG,6,0.463352
nasa,GUNZIP,6,1.742584
nasa,GZ,7,0.274348
nasa,IGZIP,7,0.238461
nasa,LIBDEFLATE,7,0.361716
nasa,PIGZ,7,0.746732
nasa,RG,7,0.453686
nasa,GUNZIP,7,1.737916
nasa,GZ,8,0.271008
nasa,IGZIP,8,0.237603
nasa,LIBDEFLATE,8,0.358562
nasa,PIGZ,8,0.742543
nasa,RG,8,0.451837
nasa,GUNZIP,8,1.739820
nasa,GZ,9,0.273386
nasa,IGZIP,9,0.237590
nasa,LIBDEFLATE,9,0.360187
nasa,PIGZ,9,0.752328
nasa,RG,9,0.449165
nasa,GUNZIP,9,1.737498
nasa,GZ,10,0.273245
nasa,IGZIP,10,0.237286
nasa,LIBDEFLATE,10,0.360014
nasa,PIGZ,10,0.744491
nasa,RG,10,0.444393
nasa,GUNZIP,10,1.739369
nasa,GZ,11,0.271997
nasa,IGZIP,11,0.237266
nasa,LIBDEFLATE,11,0.357770
nasa,PIGZ,11,0.746594
nasa,RG,11,0.452416
nasa,GUNZIP,11,1.747419
nasa,GZ,12,0.272981
nasa,IGZIP,12,0.239079
nasa,LIBDEFLATE,12,0.360093
nasa,PIGZ,12,0.743001
nasa,RG,12,0.450152
nasa,GUNZIP,12,1.736436
nasa,GZ,13,0.272619
nasa,IGZIP,13,0.238087
nasa,LIBDEFLATE,13,0.361851
nasa,PIGZ,13,0.774147
nasa,RG,13,0.450859
nasa,GUNZIP,13,1.747317
