# tri-falsifier  BIN=/dev/shm/tri-target/release/gzippy  N=15  2026-06-23T16:12:49Z
# bin-sha: f6094595848f9bd2c887c3dfaef3fde0335077644a81355f0977c0f725974cc5
cell,corpus,threads,pert,level,kind,rep,wall_s,sha,hits
T4,silesia.gz,4,RSS,20,mmap,12,1.018807,-,-
T4,silesia.gz,4,RSS,40,mmap,12,1.035398,-,-
T4,silesia.gz,4,RSS,60,mmap,12,1.039532,-,-
T4,silesia.gz,4,BASE,0,base,13,0.999300,-,-
T4,silesia.gz,4,MARKER,50,spin,13,1.237035,-,-
T4,silesia.gz,4,MARKER,100,spin,13,1.557306,-,-
T4,silesia.gz,4,MARKER,100,sleep,13,1.032888,-,-
T4,silesia.gz,4,RSS,20,mmap,13,1.015060,-,-
T4,silesia.gz,4,RSS,40,mmap,13,1.034285,-,-
T4,silesia.gz,4,RSS,60,mmap,13,1.045780,-,-
T4,silesia.gz,4,BASE,0,base,14,1.003908,-,-
T4,silesia.gz,4,MARKER,50,spin,14,1.234313,-,-
T4,silesia.gz,4,MARKER,100,spin,14,1.553388,-,-
T4,silesia.gz,4,MARKER,100,sleep,14,1.031735,-,-
T4,silesia.gz,4,RSS,20,mmap,14,1.016452,-,-
T4,silesia.gz,4,RSS,40,mmap,14,1.036464,-,-
T4,silesia.gz,4,RSS,60,mmap,14,1.044494,-,-
T4,silesia.gz,4,BASE,0,base,15,1.017744,-,-
T4,silesia.gz,4,MARKER,50,spin,15,1.286301,-,-
T4,silesia.gz,4,MARKER,100,spin,15,1.539379,-,-
T4,silesia.gz,4,MARKER,100,sleep,15,1.036583,-,-
T4,silesia.gz,4,RSS,20,mmap,15,1.017330,-,-
T4,silesia.gz,4,RSS,40,mmap,15,1.033886,-,-
T4,silesia.gz,4,RSS,60,mmap,15,1.052544,-,-
T2,monorepo.gz,2,BASE,0,base,1,0.269225,-,-
T2,monorepo.gz,2,MARKER,50,spin,1,0.322270,-,-
T2,monorepo.gz,2,MARKER,100,spin,1,0.382525,-,-
T2,monorepo.gz,2,MARKER,100,sleep,1,0.290707,-,-
T2,monorepo.gz,2,RSS,20,mmap,1,0.281355,-,-
T2,monorepo.gz,2,RSS,40,mmap,1,0.297652,-,-
T2,monorepo.gz,2,RSS,60,mmap,1,0.311388,-,-
T2,monorepo.gz,2,BASE,0,base,2,0.267542,-,-
T2,monorepo.gz,2,MARKER,50,spin,2,0.322281,-,-
T2,monorepo.gz,2,MARKER,100,spin,2,0.381797,-,-
T2,monorepo.gz,2,MARKER,100,sleep,2,0.290939,-,-
T2,monorepo.gz,2,RSS,20,mmap,2,0.284259,-,-
T2,monorepo.gz,2,RSS,40,mmap,2,0.296783,-,-
T2,monorepo.gz,2,RSS,60,mmap,2,0.310007,-,-
T2,monorepo.gz,2,BASE,0,base,3,0.266466,-,-
T2,monorepo.gz,2,MARKER,50,spin,3,0.317678,-,-
T2,monorepo.gz,2,MARKER,100,spin,3,0.383311,-,-
T2,monorepo.gz,2,MARKER,100,sleep,3,0.292161,-,-
T2,monorepo.gz,2,RSS,20,mmap,3,0.283867,-,-
T2,monorepo.gz,2,RSS,40,mmap,3,0.295696,-,-
T2,monorepo.gz,2,RSS,60,mmap,3,0.309776,-,-
T2,monorepo.gz,2,BASE,0,base,4,0.274381,-,-
T2,monorepo.gz,2,MARKER,50,spin,4,0.319369,-,-
T2,monorepo.gz,2,MARKER,100,spin,4,0.380426,-,-
