silesia,mono,1,1113295258,2834847759,3569,0.865869,211968000
silesia,mono,2,1109030095,2834882060,3568,0.827442,211968000
silesia,mono,3,1107626193,2834403733,3568,0.825536,211968000
silesia,mono,4,1110437626,2834601356,3568,0.829304,211968000
silesia,mono,5,1111210403,2834790873,3566,0.830073,211968000
silesia,mono,6,1110119559,2835358540,3564,0.831983,211968000
silesia,mono,7,1110756748,2834835566,3567,0.832872,211968000
silesia,mono,8,1109311627,2834766084,3567,0.828611,211968000
silesia,mono,9,1112257933,2834866823,3567,0.830409,211968000
silesia,mono,10,1125664985,2834778042,3569,0.839368,211968000
silesia,mono,11,1112709413,2835225154,3566,0.831952,211968000
silesia,mono,12,1111501257,2834899979,3567,0.830164,211968000
silesia,mono,13,1113686410,2834791758,3569,0.831029,211968000
silesia,mono,14,1115790494,2834675526,3569,0.832498,211968000
silesia,mono,15,1117181823,2834626493,3569,0.833938,211968000
silesia,mono,16,1124298957,2834277393,3568,0.838969,211968000
silesia,thin,1,1129433624,2843696348,4364,0.843858,211968000
silesia,thin,2,1115477550,2843828325,4370,0.832638,211968000
silesia,thin,3,1118515805,2843944009,4368,0.836554,211968000
silesia,thin,4,1112891603,2843954940,4367,0.834071,211968000
silesia,thin,5,1116552002,2844159014,4366,0.838644,211968000
silesia,thin,6,1119326607,2843850008,4366,0.841702,211968000
silesia,thin,7,1122369044,2843963138,4366,0.838020,211968000
silesia,thin,8,1121046021,2844517193,4367,0.839167,211968000
silesia,thin,9,1119463575,2844128905,4366,0.837866,211968000
silesia,thin,10,1116037501,2844064512,4369,0.833244,211968000
silesia,thin,11,1117198311,2844067920,4367,0.836298,211968000
silesia,thin,12,1124836394,2843970470,4367,0.840047,211968000
silesia,thin,13,1117633731,2843904230,4365,0.834687,211968000
silesia,thin,14,1115682394,2844040603,4369,0.832427,211968000
silesia,thin,15,1116376519,2844061982,4368,0.833526,211968000
silesia,thin,16,1114335825,2844156664,4366,0.833098,211968000
silesia,igzip,1,922336169,2414469356,609,0.692428,211968000
silesia,igzip,2,923649156,2414445752,612,0.694553,211968000
silesia,igzip,3,924430456,2414520480,609,0.694913,211968000
silesia,igzip,4,923269241,2414689397,607,0.693425,211968000
silesia,igzip,5,925929027,2414721859,610,0.696343,211968000
silesia,igzip,6,925332002,2415014034,609,0.697949,211968000
silesia,igzip,7,936709882,2414528982,607,0.703221,211968000
silesia,igzip,8,922393190,2414581169,608,0.693033,211968000
silesia,igzip,9,925885746,2414839436,612,0.700424,211968000
silesia,igzip,10,921846505,2415013367,609,0.691019,211968000
silesia,igzip,11,920420884,2414622357,610,0.690879,211968000
silesia,igzip,12,920714522,2414812082,611,0.691494,211968000
silesia,igzip,13,923509912,2414560266,609,0.692776,211968000
silesia,igzip,14,922933717,2414379246,610,0.693196,211968000
silesia,igzip,15,923424404,2414788498,612,0.694683,211968000
silesia,igzip,16,926121338,2414785130,607,0.696318,211968000
nasa,mono,1,421095163,908821854,2841,0.346941,205242368
nasa,mono,2,424341168,908658620,2841,0.342340,205242368
nasa,mono,3,422811011,908521161,2840,0.336116,205242368
nasa,mono,4,421700343,908684778,2842,0.335782,205242368
nasa,mono,5,422320620,908654269,2839,0.335569,205242368
nasa,mono,6,420677738,908493085,2843,0.334575,205242368
nasa,mono,7,420083926,908443163,2841,0.334155,205242368
nasa,mono,8,420792431,908156474,2839,0.333994,205242368
nasa,mono,9,419157485,908474503,2840,0.333775,205242368
nasa,mono,10,419672455,908448681,2840,0.333811,205242368
nasa,mono,11,419715627,908451129,2840,0.332704,205242368
nasa,mono,12,422328986,908465694,2841,0.335876,205242368
nasa,mono,13,424657434,909063922,2841,0.338642,205242368
nasa,mono,14,426212524,908577229,2841,0.338636,205242368
nasa,mono,15,420673227,908658005,2841,0.335141,205242368
nasa,mono,16,419481737,908757980,2841,0.333506,205242368
nasa,thin,1,424740594,913287387,3522,0.338876,205242368
nasa,thin,2,422640032,913272095,3522,0.336850,205242368
nasa,thin,3,425011550,913306501,3521,0.342725,205242368
nasa,thin,4,421846803,913356684,3524,0.336127,205242368
nasa,thin,5,422825625,913366293,3523,0.335916,205242368
nasa,thin,6,422743590,913280744,3523,0.337305,205242368
nasa,thin,7,422347797,913148715,3522,0.336248,205242368
nasa,thin,8,423603301,913198398,3521,0.338804,205242368
nasa,thin,9,423455200,913218542,3522,0.341598,205242368
